"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY",0.682672233820459,1,0.0655321029282414,0.486050095179125,0.841927144477817,4
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",0.845744680851064,1,0.0668966276500666,0.289424441720258,0.691066418891396,16
"GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION",0.102296450939457,0.91439218100461,0.20207170902116,0.794949201360335,1.37699656423187,4
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.188571428571429,0.995480093676815,0.248911114434702,0.355569027819501,1.1872724549057,75
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.260330578512397,1,0.0946646223153342,-0.560687222454472,-1.20010061029274,42
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.24025974025974,1,0.109684061970549,-0.67184149196408,-1.26147090268211,14
"GOBP_ACUTE_PHASE_RESPONSE",0.37037037037037,1,0.0835990603684159,-0.590074263007427,-1.11644026232587,15
"GOBP_ACYLGLYCEROL_HOMEOSTASIS",0.670212765957447,1,0.0787113806986485,0.343875835323694,0.833287763528217,17
"GOBP_ACYLGLYCEROL_TRANSPORT",0.211462450592885,1,0.132147260608774,-0.862660446356467,-1.23051488496528,2
"GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS",0.992867332382311,1,0.0302041948644786,-0.188660116613354,-0.395343117046988,34
"GOBP_ACYL_COA_METABOLIC_PROCESS",0.982683982683983,1,0.0843144320642653,0.197723027190228,0.590646668643714,48
"GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE",0.105263157894737,0.923513117158221,0.199915231309662,0.829932824462463,1.35529676707623,3
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.36289500509684,1,0.0614364107201271,-0.434789517807494,-1.07597374887852,264
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.269510926118626,1,0.077274697304471,-0.46683931969703,-1.14826209882162,191
"GOBP_ADAPTIVE_THERMOGENESIS",0.105515587529976,0.924062881539733,0.147331213699377,-0.578747329351378,-1.35321911082143,81
"GOBP_ADENINE_TRANSPORT",0.162105263157895,0.97656015037594,0.158514105424824,0.786622084558545,1.28456946958745,3
"GOBP_ADENOHYPOPHYSIS_DEVELOPMENT",0.245322245322245,1,0.125033367555272,0.882740263379098,1.17619607623528,1
"GOBP_ADENOSINE_METABOLIC_PROCESS",0.110898661567878,0.935868454886991,0.184706471207739,-0.880086042501391,-1.41030438954618,4
"GOBP_ADENOSINE_TO_INOSINE_EDITING",0.773512476007678,1,0.0555947097758869,-0.615018212384421,-0.813352839359608,1
"GOBP_ADENOSINE_TRANSPORT",0.479838709677419,1,0.0817515582532145,0.698203617810831,1.03449634497002,2
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",0.365909090909091,1,0.104343952581949,0.536030538402203,1.09960464357243,8
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",0.15866388308977,0.975312704233534,0.159646701919906,0.760064289327977,1.31656955338654,4
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.69606512890095,1,0.0445070537769277,-0.37178907173566,-0.800168242418387,40
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY",0.217741935483871,1,0.131457611642763,0.825985444000623,1.22382482848806,2
"GOBP_ADENYLATE_CYCLASE_INHIBITING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",0.336798336798337,1,0.103958471559957,0.825301204819277,1.09966213063038,1
"GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",0.0978886756238004,0.907976858972066,0.197822021315103,-0.961894087979826,-1.27209125171824,1
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.691603053435115,1,0.0501934252649434,-0.404117705216051,-0.790750960874412,20
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.675810473815461,1,0.0419926218968594,-0.37914029789948,-0.852849697080225,56
"GOBP_ADHERENS_JUNCTION_ASSEMBLY",0.697508896797153,1,0.0568864160475701,-0.438699535471267,-0.772753634922255,8
"GOBP_ADHERENS_JUNCTION_MAINTENANCE",0.313684210526316,1,0.109250039480711,0.714129244345902,1.16618722336167,3
"GOBP_ADHERENS_JUNCTION_ORGANIZATION",0.882716049382716,1,0.0395172228473919,-0.306524493445667,-0.601076743585638,22
