"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HTRA1",2.08512732847311e-09,3.81056355282671,0.603,0.103,5.47929759376165e-05
"NIM1K",2.36685089823063e-09,-3.49405796174693,0.013,0.128,6.21961079037045e-05
"GPR141",2.92460059370172e-09,-2.7277113442084,0.049,0.256,7.68526544012939e-05
"C3",3.05689286507869e-09,3.88971128334361,0.609,0.154,8.03290307085377e-05
"TMEM163",3.06372989627754e-09,-2.54652538164107,0.075,0.333,8.05086942143812e-05
"SLC35F1",3.0661536993224e-09,-3.55036540264888,0.019,0.154,8.05723869107941e-05
"ADAM19",5.21379918397905e-09,-2.6359722375684,0.059,0.282,0.000137008214956601
"SLX9",7.86888365587829e-09,-3.10639690139939,0.019,0.154,0.00020677852470917
"KRT15",8.01227205356351e-09,-2.75709236758072,0.033,0.205,0.000210546485023542
"FCN1",8.27754049916388e-09,-1.7016533811553,0.156,0.487,0.000217517209237028
"ZBTB47-AS1",8.76819128678514e-09,-3.77851135121563,0.009,0.103,0.00023041053063414
"ANXA2R-OT1",8.76819128678514e-09,-3.77851135121563,0.009,0.103,0.00023041053063414
"F5",9.00203047813637e-09,-3.67159614729912,0.009,0.103,0.000236555356904468
"ARHGAP24",9.05971504009317e-09,1.75049552336477,0.845,0.462,0.000238071191823568
"TDRD9",9.6272871630369e-09,-3.30902606791441,0.009,0.103,0.000252985852070284
"SEMA3C",1.01603518655898e-08,-2.72058299845829,0.061,0.282,0.00026699372632397
"ZFP36L1",1.02676083206964e-08,1.24043775158536,0.962,0.821,0.00026981221145126
"QARS1",1.11380332712609e-08,-3.38443347057243,0.014,0.128,0.000292685238302194
"TAMALIN",1.26077220725688e-08,-3.49991068799237,0.02,0.154,0.000331305720622963
"LDLRAD3",1.43134287244441e-08,-1.97338759299614,0.191,0.538,0.000376128280020943
"YWHAH",1.46026571221647e-08,1.8462606768543,0.79,0.41,0.000383728623856244
"SLC11A1",1.52105224610263e-08,-2.03173450102942,0.496,0.769,0.000399702109230848
"CCL3L1",1.70898660115961e-08,5.59772537215594,0.522,0.051,0.000449087499052722
"ADPRS",1.76202954436095e-08,-3.38443347057243,0.014,0.128,0.000463026123667171
"BLTP3A",1.76652162245274e-08,-3.67159614729912,0.009,0.103,0.000464206551948131
"POSTN",1.85573398748822e-08,-2.31572072048842,0.014,0.128,0.000487649777232154
"H2AFY",1.89301055618476e-08,3.05972288372595,0.577,0.128,0.000497445313954232
"TGM2",2.02561358973491e-08,-3.34966805241175,0.027,0.179,0.00053229073911054
"TRAF3IP2",2.0746902830171e-08,-2.62650825777058,0.034,0.205,0.000545187112571234
"APOE",2.13247630745607e-08,1.80042646547402,0.83,0.513,0.000560372124073307
"TANC2",2.22263816526198e-08,1.8784176544327,0.84,0.487,0.000584064857067544
"BNC2",2.37322883923171e-08,2.59266026269158,0.653,0.231,0.000623637074373309
"MAFB",2.46756616646762e-08,1.56685124439454,0.854,0.538,0.000648427037224361
"MCTP2",2.6436645663009e-08,-2.61270245824555,0.053,0.256,0.00069470217473255
