"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BRIX1",0.598960496306651,0.315938063223093,0.15,0.138,1
"BICD2",0.715419041746892,0.315924410924669,0.108,0.102,1
"RABGAP1L",0.329837984298186,0.315808644742789,0.121,0.097,1
"GLIPR2",0.0680143321008756,0.315807339834877,0.295,0.23,1
"AP1S1",0.738441929494588,0.315747711292619,0.165,0.163,1
"TULP3",0.208123827997217,0.315671735513967,0.183,0.143,1
"ATP6V0C",0.0033834281170691,0.315373871746702,0.674,0.566,1
"BRK1",0.00611278572799325,0.314851693349447,0.696,0.582,1
"BUD31",0.129661560014808,0.314734424240526,0.314,0.276,1
"RPL7L1",0.3843287162075,0.314665793176589,0.236,0.214,1
"P4HTM",0.0966137694648292,0.314569408964333,0.177,0.128,1
"HMGN3",0.0117865813529552,0.314419290762912,0.715,0.673,1
"SHARPIN",0.118775537529925,0.314389252419921,0.234,0.184,1
"PPP6C",0.998087468276353,0.314304271728344,0.187,0.199,1
"C9orf142",0.169917522414327,0.31429296993325,0.277,0.235,1
"PEX2",0.402451494307509,0.313880502596804,0.153,0.133,1
"STK3",0.204139948806696,0.313833635765252,0.187,0.153,1
"BAZ2A",0.146188820053218,0.312547560215462,0.164,0.122,1
"UBQLN1",0.245996685475227,0.312282696700284,0.189,0.158,1
"ACAP2",0.110270117678355,0.311967324927954,0.438,0.393,1
"PAFAH1B2",0.493939764528625,0.31183748262471,0.16,0.143,1
"LAMB2",0.0222149585334625,0.311759689121327,0.339,0.25,1
"SLTM",0.308994036706914,0.311271482234931,0.301,0.27,1
"FDX1",0.291042985396039,0.311211875328665,0.239,0.209,1
"RBPJ",0.185865915651481,0.310482302140603,0.351,0.316,1
"CCT2",0.173876300261342,0.310388035993411,0.37,0.332,1
"SLC31A1",0.464209578303399,0.309527081263125,0.108,0.092,1
"MR1",0.152937684499466,0.309270887620486,0.112,0.077,1
"PRRC2A",0.645735847155043,0.309224817420195,0.186,0.179,1
"PHLDB1",0.215290493655964,0.308679283027223,0.284,0.24,1
"ERLIN2",0.0552626820951038,0.308554344154615,0.113,0.066,1
"GSS",0.611855382879504,0.308471579709252,0.149,0.138,1
"NUDC",0.0762127358868991,0.308257569112391,0.394,0.337,1
"CTNNA1",0.202329866823999,0.308254778118131,0.368,0.337,1
"PBDC1",0.440433385393027,0.30821989203943,0.182,0.163,1
"HMGCLL1",0.220423313390159,0.308203518033742,0.118,0.087,1
"SACS",0.417206975920482,0.308194231128385,0.106,0.087,1
"USP48",0.318121441606848,0.30815656507878,0.239,0.209,1
"TCTN1",0.317223182175643,0.307965774156551,0.197,0.168,1
"LAMTOR4",0.0232762765930503,0.307938047938655,0.549,0.474,1
"IMMP1L",0.996263060026559,0.307082503279048,0.114,0.117,1
"EIF2AK2",0.301572664434228,0.306705338646214,0.258,0.23,1
"ETF1",0.222762287635336,0.306541708464363,0.204,0.168,1
"AP4M1",0.121503587712157,0.306362087672066,0.109,0.071,1
"CTSZ",0.57198407967713,0.306181577845943,0.26,0.25,1
"CD276",0.687198384668071,0.306121595381474,0.199,0.194,1
"PHB",0.19825820761462,0.305790292663888,0.308,0.265,1
"ELOVL5",0.438758456836279,0.305397618126843,0.248,0.23,1
"ENAH",0.0310957646850306,0.305282631313885,0.451,0.362,1
"ZNF10",0.704458541683893,0.304635352369437,0.114,0.107,1
"PCBD1",0.112922076519361,0.304553234783299,0.352,0.291,1
"GNB4",0.145519336322773,0.304385312354506,0.244,0.194,1
"FAM213A",0.150206713577946,0.304303293080549,0.132,0.092,1
"GNG12",0.0759616990182516,0.303825590032276,0.352,0.281,1
"MRPL48",0.43627249198476,0.303680627218767,0.137,0.117,1
"COQ9",0.817723085859084,0.303652474163941,0.117,0.128,1
"CD81",0.000163986394690127,0.30322700123573,0.678,0.526,1
"EIF4A3",0.571112890561759,0.302778211770106,0.272,0.26,1
"XPA",0.097830445590608,0.302741976418866,0.194,0.143,1
"SKIL",0.210382319341097,0.302714858862963,0.335,0.291,1
"NFU1",0.499792045197005,0.302713118909468,0.212,0.194,1
"AHCYL1",0.39486388077969,0.302480874565348,0.267,0.25,1
"TXNDC12",0.326139043802435,0.301344996544961,0.237,0.214,1
"PRPF4B",0.307180434883548,0.301096960874008,0.253,0.219,1
"BDH2",0.107254649977986,0.300251687568893,0.375,0.321,1
"NBEAL1",0.0980436218718168,0.299921182549946,0.411,0.352,1
"ARCN1",0.662583042171564,0.299431546090561,0.235,0.23,1
"UBE2N",0.448723204753177,0.299375487369062,0.326,0.316,1
"CHCHD3",0.904146609864784,0.299035745247794,0.208,0.214,1
"DDAH1",0.656386569400897,0.299033510208916,0.111,0.102,1
"FAM174A",0.400748197280546,0.298900238799321,0.216,0.194,1
"TBX3",0.42545540392416,0.298569305724778,0.223,0.199,1
"JUN",0.00276342346624398,0.297954226290663,0.849,0.73,1
"COL6A1",0.0379212348904528,0.297754428065182,0.866,0.74,1
