"pathway","pval","padj","log2err","ES","NES","size","cluster"
"HALLMARK_ANDROGEN_RESPONSE",0.767806267806268,0.964615384615385,0.0422468188360053,0.259373701577128,0.792604767414372,28,"4"
"HALLMARK_ANGIOGENESIS",0.0422960725075529,0.162241887905605,0.271288554688953,0.566182668888513,1.51820695833644,16,"4"
"HALLMARK_APICAL_JUNCTION",0.205882352941176,0.430178571428571,0.166933848713193,-0.398698584139052,-1.19987273248228,16,"4"
"HALLMARK_APOPTOSIS",0.645293315143247,0.887278308321965,0.0482149710025564,0.267678716451618,0.889432014851453,44,"4"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0267235073584639,0.125982248975616,0.352487857583619,0.533630620829254,1.55481074190675,22,"4"
"HALLMARK_COAGULATION",0.769340974212034,0.964615384615385,0.0424170054438747,0.265381140875963,0.784991711178281,24,"4"
"HALLMARK_COMPLEMENT",0.840304182509506,0.964615384615385,0.0857844408075645,-0.206196629529905,-0.778043207038185,42,"4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.276712328767123,0.507921015091223,0.0908241419007155,0.340158624424538,1.13439070289323,45,"4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.161785216178522,0.410685548760863,0.126253987849115,0.393448538159564,1.24095061861125,33,"4"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.148148148148148,0.407407407407407,0.134273452883202,0.420215174631389,1.2841107202754,28,"4"
"HALLMARK_FATTY_ACID_METABOLISM",0.876923076923077,0.964615384615385,0.0723570851036907,-0.228340364302309,-0.728499790961916,20,"4"
"HALLMARK_G2M_CHECKPOINT",0.960365853658537,0.97682119205298,0.0673623868166279,-0.189984101748808,-0.585845447422769,18,"4"
"HALLMARK_GLYCOLYSIS",0.17816091954023,0.419950738916256,0.121543282035469,0.405188225083407,1.24801341126878,30,"4"
"HALLMARK_HEME_METABOLISM",0.0442477876106195,0.162241887905605,0.261663521711573,0.523330306772108,1.5001349733348,21,"4"
"HALLMARK_HYPOXIA",0.0616966580976864,0.203598971722365,0.204294756516886,0.385815166141549,1.36855562993165,61,"4"
"HALLMARK_IL2_STAT5_SIGNALING",0.0140001817247648,0.0770009994862063,0.380730400722792,0.453838361142369,1.53188527538821,49,"4"
