"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.69210137605398e-87,1.28386108124771,0.574,0.332,7.07430399599465e-83,"3","LINC00910"
1.33904433205301e-34,1.28272166626823,0.252,0.132,3.5187406957689e-30,"3","AL450998.2"
7.59657239216943e-77,1.27784116302561,0.482,0.255,1.99622729321428e-72,"3","PAPSS2"
2.51523808605245e-77,1.27718263721247,0.458,0.236,6.60954264252862e-73,"3","BIRC3"
2.54053207484816e-94,1.27635856965086,0.662,0.439,6.67601018628598e-90,"3","MT-ND6"
4.2958471856175e-54,1.2735568441694,0.306,0.144,1.12886272343657e-49,"3","PAX8-AS1"
2.31407454606689e-149,1.27279593331521,0.88,0.684,6.08092509215458e-145,"3","TFEC"
1.43972651781228e-55,1.26673050473039,0.515,0.335,3.7833133435071e-51,"3","POLG2"
1.18096082993057e-103,1.25717160164702,0.748,0.546,3.10332886889156e-99,"3","BRD2"
7.60140690139906e-36,1.25642979679853,0.268,0.143,1.99749770554964e-31,"3","DALRD3"
1.15776806313632e-74,1.2461789627532,0.61,0.401,3.04238291630963e-70,"3","NRP2"
7.77111460303408e-109,1.24145916544009,0.801,0.61,2.0420934953853e-104,"3","PPP1R10"
1.89121836887327e-44,1.23827749758688,0.303,0.153,4.96974362972517e-40,"3","ASTL"
2.8138938804603e-44,1.23466827448128,0.279,0.137,7.39435033907357e-40,"3","PIK3R3"
2.19255119690654e-51,1.23381702796323,0.409,0.24,5.76158603523101e-47,"3","TOB1"
6.65787942445534e-88,1.22881145644764,0.597,0.35,1.74955755515837e-83,"3","FILIP1L"
1.40175513822974e-58,1.22594545033689,0.492,0.295,3.6835321522401e-54,"3","TNF"
4.24345503498182e-84,1.22103948612691,0.722,0.556,1.11509511409252e-79,"3","ATP1A1"
3.45352853386357e-22,1.21075639730154,0.355,0.258,9.07518228128669e-18,"3","GTF2A1"
9.54482197245067e-129,1.20598766161328,0.856,0.679,2.50818831792059e-124,"3","SNHG5"
2.59201028014777e-26,1.20448681751778,0.354,0.238,6.81128461417231e-22,"3","GYS1"
1.19809365174381e-55,1.20267142147996,0.444,0.257,3.14835049805237e-51,"3","AC007384.1"
8.96843581630241e-33,1.20131522036327,0.259,0.139,2.35672556380795e-28,"3","AC245014.3"
1.964204453149e-63,1.19579959532376,0.369,0.178,5.16153646198493e-59,"3","USP9Y"
2.13778944405124e-56,1.19527320231439,0.505,0.317,5.61768310107784e-52,"3","RNF19B"
7.3685525273563e-77,1.19199783756796,0.482,0.257,1.93630823313869e-72,"3","SRGAP3"
9.28228287956056e-66,1.18732022740742,0.565,0.37,2.43919829509092e-61,"3","XBP1"
1.17373175591016e-97,1.18103121051544,0.4,0.163,3.08433230818071e-93,"3","TTTY14"
5.11936294492569e-86,1.17897713330416,0.587,0.356,1.34526619466757e-81,"3","GNA12"
3.79424888684752e-68,1.17099300531906,0.581,0.368,9.97052722485792e-64,"3","TFRC"
1.7467531407574e-43,1.16694423813515,0.337,0.183,4.59011790328229e-39,"3","AC006230.1"
8.20914541197829e-31,1.16103867705452,0.495,0.376,2.15719923135966e-26,"3","SECISBP2"
7.47360537823965e-141,1.15418109601014,0.876,0.688,1.96391402129381e-136,"3","PPP1R15A"
4.24154160620733e-59,1.15411379955492,0.617,0.438,1.11459230327916e-54,"3","RIPK2"
7.09205693577148e-38,1.14882582677694,0.266,0.135,1.86365072158203e-33,"3","MCOLN2"
2.41447407530978e-101,1.13215439860709,0.545,0.266,6.34475497509904e-97,"3","UTY"
2.2365253888713e-28,1.1314467521154,0.257,0.143,5.87714141687601e-24,"3","HS3ST1"
6.74728856524375e-50,1.12950011502338,0.364,0.193,1.77305248917475e-45,"3","HIST1H1C"
7.55504447807259e-38,1.12949338713567,0.459,0.317,1.98531458794792e-33,"3","LINC01004"
4.24935000652378e-64,1.12493986356736,0.44,0.235,1.11664419471432e-59,"3","FAM20A"
1.19889195568918e-68,1.12401400267223,0.561,0.356,3.15044828116003e-64,"3","NFKBID"
1.12713614284382e-38,1.1195011953802,0.333,0.188,2.96188835616499e-34,"3","HMGCS1"
1.05420219571737e-19,1.11558915905352,0.268,0.175,2.77023252990611e-15,"3","LRIF1"
3.23784376020898e-41,1.1118466468094,0.403,0.248,8.50840583307716e-37,"3","SEPTIN11"
2.44614286992831e-73,1.10970282884383,0.617,0.417,6.42797423359763e-69,"3","TMEM176B"
1.57555923764478e-25,1.10804147370535,0.398,0.28,4.14025456468294e-21,"3","ERO1B"
1.19774374543983e-35,1.106110708385,0.362,0.223,3.1474310142668e-31,"3","ITGA9"
1.88452752126927e-29,1.10316216451928,0.339,0.214,4.95216142039139e-25,"3","TRNAU1AP"
5.1706585990427e-27,1.10204841825824,0.334,0.221,1.35874566665644e-22,"3","HEXIM1"
1.41920993090633e-47,1.10089498320332,0.346,0.184,3.72939985643564e-43,"3","SLC39A8"
2.18316536301175e-61,1.09371663763896,0.575,0.386,5.73692194092229e-57,"3","TNFRSF10B"
1.53127573013653e-36,1.09232176644832,0.298,0.163,4.02388636365277e-32,"3","BAIAP2"
7.48048566348444e-50,1.07749038761904,0.657,0.52,1.96572202265044e-45,"3","WTAP"
4.4333838844499e-98,1.07527088862607,0.787,0.595,1.16500461715574e-93,"3","BTG2"
1.78278861669656e-149,1.0745282529808,0.9,0.676,4.68481192695523e-145,"3","DMXL2"
7.06009399731054e-45,1.06810513097525,0.436,0.269,1.85525150061326e-40,"3","TNFRSF10D"
4.15581341511978e-48,1.06668623979385,0.369,0.201,1.09206464922518e-43,"3","SLC27A4"
1.98354644283741e-28,1.0633609255045,0.342,0.221,5.21236334248814e-24,"3","KPNA2"
4.30094775128205e-35,1.06172248023165,0.35,0.212,1.1302030500819e-30,"3","SLC16A1"
3.38967559111476e-41,1.05864216221845,0.538,0.393,8.90738951833136e-37,"3","SERINC5"
1.70046220960558e-31,1.05464562196239,0.368,0.232,4.46847459440153e-27,"3","CASS4"
4.31437596688567e-21,1.05282710654607,0.284,0.186,1.13373171657822e-16,"3","AL499604.1"
2.31636111568459e-44,1.04185030826183,0.396,0.23,6.08693373979595e-40,"3","GATM"
1.36113547057694e-12,1.03852183888897,0.313,0.241,3.57679178958208e-08,"3","TRIM69"
3.44452336479804e-28,1.0318241697199,0.25,0.138,9.05151849801629e-24,"3","AC022217.2"
1.88661355060641e-62,1.0317843826562,0.587,0.395,4.95764308828351e-58,"3","PRDM1"
2.27875356813572e-50,1.03008260983724,0.497,0.321,5.98810862634704e-46,"3","TIPARP"
5.80303305936194e-23,1.02986819123503,0.296,0.189,1.52492102733913e-18,"3","SDS"
8.49297470409429e-46,1.02966566767221,0.39,0.221,2.2317838927419e-41,"3","UHRF1BP1"
2.42383628907212e-16,1.02706810779513,0.278,0.192,6.36935700042372e-12,"3","AP002336.2"
4.01931033637367e-24,1.02217797865434,0.323,0.211,1.05619437019227e-19,"3","SAE1"
2.82412920281233e-68,1.01783036424765,0.552,0.329,7.42124671915025e-64,"3","ABCC3"
6.35590427727764e-77,1.0176631436881,0.837,0.701,1.67020452598302e-72,"3","SLC38A2"
1.00156133897306e-32,1.00983512541468,0.322,0.189,2.6319028865534e-28,"3","BTG3"
6.45817409533911e-22,1.00755914894807,0.251,0.153,1.69707898877321e-17,"3","SLC19A2"
1.78653933262529e-106,1.00631630577351,0.899,0.774,4.69466805827274e-102,"3","UBAC2"
1.31642020070105e-50,1.00556628444611,0.521,0.351,3.45928900340223e-46,"3","PPP1R15B"
1.17648886808437e-24,1.00351337981624,0.329,0.218,3.09157744755211e-20,"3","SERPINF1"
5.83863204400105e-31,0.997319951222757,0.424,0.295,1.5342757285226e-26,"3","ERN1"
3.40382468018616e-90,0.994881301488655,0.892,0.785,8.9445704945932e-86,"3","CD86"
3.63538632227469e-31,0.992024725264273,0.395,0.266,9.55306817767342e-27,"3","TMEM176A"
2.88600401943147e-58,0.991295954083778,0.551,0.359,7.58384136226202e-54,"3","FOXO1"
1.67857589385739e-100,0.990992227114017,0.882,0.753,4.41096173387845e-96,"3","TANK"
1.90104597323239e-47,0.990855765820088,0.464,0.292,4.99556860846007e-43,"3","PMAIP1"
7.70454251834045e-28,0.990600061013075,0.315,0.194,2.0245996829695e-23,"3","FAM53C"
2.65411633085419e-74,0.984234893667297,0.709,0.515,6.97448689421864e-70,"3","PFKFB3"
3.02951235933959e-47,0.983800144363367,0.366,0.197,7.96095257787257e-43,"3","PLA2G7"
1.21348532085583e-91,0.981271228289126,0.681,0.429,3.18879672614495e-87,"3","RGL1"
1.40420061015275e-91,0.980629337733494,0.847,0.684,3.6899583633594e-87,"3","MIR181A1HG"
7.85638882132457e-28,0.979858654865674,0.367,0.243,2.06450185446767e-23,"3","CCNYL1"
6.60008103788221e-38,0.973708145017074,0.452,0.304,1.73436929513469e-33,"3","HPS5"
3.0359881069468e-104,0.971791154314176,0.816,0.617,7.97796954743481e-100,"3","ATF3"
4.00250892600318e-148,0.971317452210915,0.973,0.844,1.05177929557512e-143,"3","IER2"
3.17894935728159e-33,0.968255064312749,0.439,0.294,8.35364312106456e-29,"3","TULP2"
9.75506032407174e-27,0.964381680534308,0.369,0.248,2.56343475195957e-22,"3","HNRNPLL"
1.07974089477007e-11,0.962874003343002,0.262,0.194,2.83734312327679e-07,"3","MTO1"
1.002345658937e-53,0.962303094234642,0.519,0.328,2.63396392255466e-49,"3","RFX2"
1.0191176333697e-20,0.961296391713268,0.36,0.259,2.67803731696891e-16,"3","SLFN5"
2.35703024777744e-98,0.959983331415585,0.758,0.505,6.19380408510957e-94,"3","AC020916.1"
9.40447747334002e-87,0.959307173567835,0.778,0.573,2.47130859044429e-82,"3","LINC01578"
6.55858777837982e-68,0.952751021477804,0.712,0.555,1.72346569640265e-63,"3","VOPP1"
9.6705678584278e-51,0.951577703517433,0.511,0.333,2.54123182183766e-46,"3","TTYH3"
1.29224672695688e-19,0.948774700533094,0.25,0.157,3.39576594909729e-15,"3","CYP51A1"
1.58621217233282e-42,0.946328033225031,0.513,0.355,4.16824834645617e-38,"3","CISD2"
1.55534513317289e-18,0.945428938432027,0.259,0.168,4.08713594095171e-14,"3","ALAS1"
1.70357611161121e-86,0.943763997216234,0.593,0.334,4.47665730609194e-82,"3","INSIG1"
3.1787604523225e-54,0.943002863247387,0.542,0.353,8.35314671661307e-50,"3","FOSL2"
3.07676569975134e-76,0.942749690110029,0.867,0.712,8.08512490580658e-72,"3","AC022217.3"
2.24590543940436e-16,0.942582191122846,0.353,0.27,5.90179031366677e-12,"3","CCL5"
2.10440645027519e-23,0.939026659195651,0.338,0.228,5.52995927003314e-19,"3","TMEM107"
6.47480016019819e-53,0.938146919587553,0.607,0.436,1.70144798609688e-48,"3","EZR"
2.63379180442476e-55,0.937533517801614,0.607,0.416,6.92107810366739e-51,"3","EXT1"
4.29892396769768e-128,0.935653625962543,0.761,0.435,1.1296712402316e-123,"3","SELENOP"
2.83039492186008e-18,0.933209943366164,0.354,0.262,7.43771177566391e-14,"3","SPTAN1"
5.7030353942829e-42,0.932622800862557,0.498,0.335,1.49864364090966e-37,"3","H2AFJ"
1.54822792860042e-22,0.93046162776601,0.365,0.257,4.06843335077617e-18,"3","ZNF143"
3.36369631985232e-97,0.928709281153796,0.886,0.778,8.83912118930794e-93,"3","CCNL1"
1.27915553523811e-119,0.926337981212864,0.953,0.843,3.3613649154987e-115,"3","ANXA1"
2.58911881443028e-77,0.924335255222186,0.871,0.766,6.80368642055988e-73,"3","SQSTM1"
2.52736748444581e-30,0.912258520071748,0.431,0.297,6.6414162756267e-26,"3","MED29"
1.5584025371694e-37,0.91043453096353,0.59,0.466,4.09517018717375e-33,"3","LPXN"
3.17661909375777e-53,0.909722792353963,0.659,0.48,8.34751965457668e-49,"3","NR4A3"
2.1249991453525e-115,0.907251190853084,0.965,0.905,5.58407275415729e-111,"3","VMP1"
3.56321623393022e-28,0.906491710141054,0.393,0.27,9.36341961952183e-24,"3","NXF1"
3.36620436727886e-46,0.905165918691805,0.433,0.26,8.84571183633539e-42,"3","AZIN1-AS1"
1.43852570828704e-54,0.904389845974137,0.711,0.562,3.78015785623669e-50,"3","AMD1"
1.66074972597598e-70,0.904003702409962,0.892,0.786,4.36411812991968e-66,"3","GLS"
2.29100295519367e-34,0.900746834519587,0.408,0.265,6.02029756565793e-30,"3","UBE2S"
5.27486489233141e-83,0.900453752535424,0.82,0.621,1.38612899640685e-78,"3","ADAMTSL4-AS1"
1.5436336130664e-16,0.899748166323376,0.28,0.193,4.05636040841587e-12,"3","CGAS"
2.52701471944372e-18,0.898741853918043,0.324,0.228,6.64048927975422e-14,"3","AF117829.1"
1.29520963687212e-17,0.896926396818191,0.279,0.188,3.40355188377255e-13,"3","DNAJB9"
3.19806253273073e-111,0.896014500328874,0.922,0.758,8.40386872350982e-107,"3","IER3"
3.7823013687852e-141,0.89502225748085,0.966,0.838,9.93913153689375e-137,"3","NFKBIA"
6.33501298857693e-27,0.894335124391157,0.393,0.266,1.66471471313824e-22,"3","RHOH"
3.18432663918423e-83,0.893726281787288,0.893,0.764,8.36777354244833e-79,"3","SRSF7"
3.1050301965089e-25,0.893672331854807,0.367,0.249,8.15939835038608e-21,"3","GPR132"
1.6291073953726e-87,0.893284982327405,0.656,0.42,4.28096841356013e-83,"3","WWP1"
6.49915983360606e-22,0.891643293956961,0.294,0.19,1.707849221075e-17,"3","ZBTB10"
2.97541724734135e-37,0.888567847059205,0.41,0.259,7.81880144256361e-33,"3","TSC22D1"
2.12997791374556e-52,0.885745731006955,0.656,0.483,5.59715596174057e-48,"3","ANKH"
6.00304655368537e-11,0.885296219941772,0.271,0.203,1.57748057337744e-06,"3","DDX58"
1.18157084101903e-29,0.88281956292442,0.449,0.318,3.10493185602982e-25,"3","LINC00513"
1.20943696965524e-134,0.882802868858353,0.974,0.883,3.17815846886004e-130,"3","ITPR2"
1.3741528497758e-37,0.882334617063314,0.292,0.153,3.61099885864086e-33,"3","PHLDA1"
1.58304368485533e-32,0.879039804515422,0.298,0.165,4.15992219506285e-28,"3","IGF1"
3.80888932667297e-26,0.878928947134225,0.388,0.27,1.00089993726312e-21,"3","NBN"
7.53827972806422e-17,0.876574758331224,0.285,0.196,1.98090914694072e-12,"3","SLC37A2"
1.50056062441357e-131,0.87596707219682,0.913,0.686,3.94317320883399e-127,"3","GPR183"
5.88762016784011e-36,0.875915850429314,0.508,0.362,1.54714882770502e-31,"3","STX11"
4.87547904879762e-73,0.873626955689218,0.798,0.622,1.28117838444304e-68,"3","SNX9"
2.50747123530127e-95,0.871678008252992,0.824,0.601,6.58913291212468e-91,"3","NRP1"
1.29230557390371e-16,0.871312293888245,0.262,0.176,3.39592058710417e-12,"3","MIR155HG"
1.02194805559369e-20,0.866304253586127,0.285,0.183,2.68547510048911e-16,"3","IL4I1"
8.14637578175163e-12,0.866020398191037,0.265,0.194,2.14070462792869e-07,"3","NFKBIB"
